title,stars_rating,run_time,release_date,mpaa_rating,genre,director,cast
"Dictator, The",2.0,83.0,2012,"Profanity, Sexual Content, Nudity",COMEDY,Larry Charles,"Sacha Baron Cohen, Anna Faris, Jason Mantzoukas, Ben Kingsley"
Battleship,1.5,131.0,2012,"Violence, Profanity",SCIENCE FICTION/ACTION,Peter Berg,"Taylor Kitsch, Alexander Skarsgard, Rihanna, Brooklyn Decker, Tadanobu Asano, Liam Neeson, Peter MacNicol, Gregory D. Gadson"
Hick,2.0,95.0,2012,"Profanity, Violence, Sexual Content",DRAMA,Derick Martini,"Chloe Grace Moretz, Eddie Redmayne, Blake Lively, Alec Baldwin, Juliette Lewis, Rory Culkin, Anson Mount"
Dark Shadows,2.0,113.0,2012,"Violence, Profanity, Sexual Content",COMEDY/HORROR,Tim Burton,"Johnny Depp, Christopher Lee, Chloe Grace Moretz, Bella Heathcote, Jonny Lee Miller, Jackie Earle Haley, Eva Green, Helena Bonham Carter, Michelle Pfeiffer, Alice Cooper"
God Bless America,3.0,105.0,2012,"Profanity, Violence, Sexual Content",COMEDY,Bobcat Goldthwait,"Joel Murray, Tara Lynne Barr"
"Best Exotic Marigold Hotel, The",2.5,124.0,2012,"Sexual Content, Profanity",DRAMA/COMEDY,John Madden,"Judi Dench, Tom Wilkinson, Bill Nighy Penelope Wilson, Maggie Smith, Ronald Pickup, Celia Imrie, Dev Patel, Tena Desae, Lillete Dubey"
"Avengers, The",3.5,142.0,2012,Violence,ACTION/ADVENTURE,Joss Whedon,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner, Tom Hiddleston, Samuel L. Jackson, Clark Gregg"
Amelia,2.5,111.0,2009,,DRAMA,Mira Nair,"Hilary Swank, Richard Gere, Ewan McGregor, Christopher Eccleston"
Cirque du Freak: The Vampire's Assistant,2.0,108.0,2009,Violence,ADVENTURE/HORROR,Paul Weitz,"Chris Massoglia, Salma Hayek, Willem Dafoe, Ken Watanabe, Ray Stevenson, Patrick Fugit, Jessica Carlson, John C. Reilly, Josh Hutcherson, Michael Cerveris"
"Education, An",3.5,95.0,2009,Sexual Situations,DRAMA,Lone Scherfig,"Carey Mulligan, Peter Sarsgaard, Alfred Molina, Cara Seymour, Dominic Cooper, Rosamund Pike, Olivia Williams, Emma Thompson, Sally Hawkins"
Antichrist,2.5,104.0,2009,"Violence, Sex, Nudity, Profanity",THRILLER/DRAMA,Lars von Trier,"Willem Dafoe, Charlotte Gainsbourg"
Law Abiding Citizen,2.0,108.0,2009,"Violence, Profanity",THRILLER,F. Gary Gray,"Jamie Foxx, Gerard Butler, Colm Meaney, Bruce McGill, Leslie Bibb"
Where the Wild Things Are,3.0,102.0,2009,,ADVENTURE,Spike Jonze,"Max Records, Catherine Keener; voices: James Gandolfini, Lauren Ambrose, Paul Dano, Catherine O'Hara, Forest Whitaker, Chris Cooper, Michael Berry Jr."
"New York, I Love You",3.0,100.0,2009,"Profanity, Sexual Situations",DRAMA,"Fatih Akin, Yvan Attal, Allen Hughes, Shunji Iwai, Jiang Wen, Shekhar Kapur, Joshua Marston, Mira Nair, Natalie Portman, Brett Ratner, Randall Balsmeyer","Shia LaBeouf, Andy Garcia, Christina Ricci, Hayden Christensen, Robin Wright Penn, Maggie Q, Chris Cooper, James Caan, Orlando Bloom, Natalie Portman, Julie Christie"
Paranormal Activity,3.5,84.0,2009,Profanity,HORROR,Oren Peli,"Katie Featherston, Micah Sloat"
Couples Retreat,2.5,110.0,2009,"Sexual Situations, Profanity",COMEDY,Peter Billingsley,"Vince Vaughn, Jean Reno, Carlos Ponce, Kali Hawk, Kristin Davis, Kristen Bell, Malin Akerman, Jon Favreau, Faizon Love, Jason Bateman, Temuera Morrison"
Coco before Chanel,2.5,105.0,2009,Sexual Situations,DRAMA,Anne Fontaine,"Audrey Tautou, Benoit Poelvoorde, Alessandro Nivola, Marie Gillain, Emmanuelle Devos"
"Rundown, The",3.0,102.0,2003,"Violence, Profanity",ACTION,Peter Berg,"The Rock, Seann William Scott, Rosario Dawson, Christopher Walken, Ewen Bremner"
Godzilla,2.5,96.0,,Violence,THRILLER,Ishirô Honda,"Akira Takarada, Momoko Kochi, Akihiko Hirata, Takashi Shimura, Fuyuki Murakami, Sachio Sakai"
3:10 To Yuma,3.0,120.0,2007,"Violence, Profanity, Sexual Situations, Nudity",WESTERN,James Mangold,"Christian Bale, Russell Crowe, Peter Fonda, Ben Foster, Logan Lerman, Gretchen Mol"
Finding Forrester,3.0,138.0,2000,Profanity,DRAMA,Gus Van Sant,"Sean Connery, Rob Brown, F. Murray Abraham, Anna Paquin, April Grace, Busta Rhymes"
"Good Night, and Good Luck",3.5,93.0,2005,Mature Themes,DRAMA,George Clooney,"David Strathairn, Robert Downey Jr., Patricia Clarkson, Ray Wise, Frank Langella, Jeff Daniels, George Clooney"
American Teen,2.5,95.0,2008,"Profanity, Sexual Situations",DOCUMENTARY,Nanette Burstein,"Hannah Bailey, Colin Clemens, Megan Krizmanich, Jake Tusing"
Notorious,2.5,120.0,2009,"Profanity, Sexual Situations, Nudity, Violence",DRAMA,George Tillman Jr.,"Jamal Woolard, Derek Luke, Angela Bassett, Naturi Naughton, Christopher Jordan Wallace, Anthony Mackie, Antonique Smith"
Lethal Weapon 4,3.0,127.0,1998,"Violence, Profanity",THRILLER,Richard Donner,"Mel Gibson, Danny Glover, Joe Pesci, Renee Russo, Chris Rock, Jet Li"
Amistad,3.5,157.0,1997,"Violence, Nudity",DRAMA,Steven Spielberg,"Djimon Hounsou, Matthew McConaughey, Morgan Freeman, Anthony Hopkins, Nigel Hawthorne, Stellan Skarsgard, David Paymer, Pete Postlethwaite, Anna Paquin"
Aliens,4.0,137.0,1986,"Violence, Profanity",SCIENCE FICTION/ADVENTURE,James Cameron,"Sigourney Weaver, Mark Rolston, Al Matthews, Jenette Goldstein, William Hope, Bill Paxton, Lance Henriksen, Paul Reiser, Michael Biehn, Carrie Henn, Ricco Ross"
"House Bunny, The",1.0,100.0,2008,"Profanity, Sexual Situations, Nudity",COMEDY,Fred Wolf,"Anna Faris, Colin Hanks, Emma Stone, Kat Dennings, Katharine McPhee, Rumer Willis, Kiely Williams, Dana Goodman, Kimberly Makkouk"
"Postman, The (Il Postino)",4.0,115.0,,,DRAMA,Michael Radford,"Massimo Troisi, Philippe Noiret, Maria Grazia Cucinotta, Linda Moretti"
This Is My Father,3.0,120.0,,Sexual Situations,DRAMA,Paul Quinn,"James Caan, Aidan Quinn, Moya Farrelly, Gina Moxley, Jacob Tierney, Donal Donnelly, Maria McDermottroe, Moira Deady, Stephen Rea"
"Very Long Engagement, A",3.0,133.0,2004,"Violence, Sexual Content, Nudity",DRAMA,Jean-Pierre Jeunet,"Audrey Tautou, Jean-Pierre Darroussin, Dominique Bettenfeld, Denis Lavant, Chantal Neuwirth, Albert Dupontel, Jérôme Kircher, Clovis Cornillac, Dominique Pinon, Gaspard Ulliel, Marion Cotillard"
"Little Mermaid, The",3.5,82.0,1989,Nothing Objectionable,ANIMATED,Ron Clements and John Musker,"(voices) Jodi Benson, Samuel E. Wright, Pat Carroll, Christopher Daniel Barnes, Kenneth"
28 Days Later,3.0,112.0,2003,"Violence, Profanity, Nudity",HORROR,Danny Boyle,"Cillian Murphy, Naomie Harris, Noah Huntley, Brendan Gleeson, Megan Burns, Christopher Eccleston"
Good Luck Chuck,2.0,95.0,2007,"Profanity, Sexual Situations, Nudity",COMEDY,Mark Helfrich,"Dane Cook, Jessica Alba, Dan Fogler, Ellia English"
Deck the Halls,1.0,95.0,2006,Profanity,COMEDY,John Whitesell,"Danny DeVito, Matthew Broderick, Kristin Davis, Kristin Chenoweth"
Failure to Launch,2.0,97.0,2006,"Profanity, Sexual Situations, Nudity",ROMANCE/COMEDY,Tom Dey,"Matthew McConaughey, Sarah Jessica Parker, Zooey Deschanel, Justin Bartha, Kathy Bates, Terry Bradshaw, Bradley Cooper"
Legally Blonde,2.5,95.0,2001,"Profanity, Sexual Situations",COMEDY,Robert Luketic,"Reese Witherspoon, Luke Wilson, Selma Blair, Matthew Davis, Victor Garber, Jennifer Coolidge, Holland Taylor, Ali Larter"
Wonderland,3.0,99.0,2003,"Violence, Profanity, Sexual Content, Drugs",DRAMA,James Cox,"Val Kilmer, Christina Applegate, Ted Levine, Eric Bogosian, Time Blake Nelson, Franky G, Josh Lucas, Dylan McDermott, Kate Bosworth, Lisa Kudrow, Natasha Gregson Wagner"
Exotica,4.0,103.0,,"Sexual Situations, Nudity, Profanity",DRAMA,Atom Egoyan,"Bruce Greenwood, Mia Kirshner, Elias Koteas, Don McKellar, Arsinee Khanijian, Sarah Polley"
Lucky You,3.0,124.0,2007,Profanity,DRAMA,Curtis Hanson,"Eric Bana, Drew Barrymore, Robert Duvall, Debra Messing, Charles Martin Smith"
Deal,2.0,90.0,2008,"Sexual Situations, Profanity, Drugs",DRAMA,Gil Cates Jr,"Burt Reynolds, Bret Harrison, Maria Mason, Shannon Elizabeth, Charles Durning, Jennifer Tilly"
My Summer of Love,3.0,85.0,2005,"Sexual Situations, Profanity, Nudity, Drugs",DRAMA,Pawel Pawlikowski,"Natalie Press, Emily Blunt, Paddy Considine"
Fun with Dick and Jane,2.0,90.0,2005,"Profanity, Sexual Situations",COMEDY,Dean Parisot,"Jim Carrey, Téa Leoni, Alec Baldwin, Richard Jenkins"
Freddy Got Fingered,0.0,87.0,2001,"Profanity, Sexual Situations",COMEDY,Tom Green,"Tom Green, Rip Torn, Julie Hagerty, Marisa Coughlan, Eddie Kaye Thomas, Harland Williams"
"Iron Giant, The",3.5,80.0,1999,,ANIMATED,Brad Bird,"(voices) Eli Marienthal, Vin Diesel, Jennifer Aniston, Harry Connick Jr., Christopher McDonald, James Gammon, M. Emmet Walsh"
Box of Moonlight,2.5,110.0,1997,"Nudity, Profanity, Violence",DRAMA,Tom DiCillo,"John Turturro, Sam Rockwell, Catherine Keener, Lisa Blount, Annie Corley"
Garden State,2.5,109.0,2004,"Profanity, Drugs",ROMANCE/COMEDY,Zach Braff,"Zach Braff, Ian Holm, Natalie Portman, Peter Sarsgaard, Ron Liebman, Method Man, Jean Smart"
"Night Listener, The",3.0,88.0,2006,"Profanity, Sexual Situations, Nudity",THRILLER/DRAMA,Patrick Stettner,"Robin Williams, Toni Collette, Bobby Cannavale, Joe Morton, Rory Culkin, Sandra Oh"
Hellboy II: The Golden Army (Spoilers),3.0,110.0,2008,"Violence, Profanity",ADVENTURE/FANTASY,Guillermo del Toro,"Ron Perlman, Selma Blair, Doug Jones, John Alexander, James Donn, Luke Gross, Anna Walton, Jeffrey Tambor, John Hurt"
Cobb,3.0,128.0,,"Violence, Profanity, Nudity",DRAMA,Ron Shelton,"Tommy Lee Jones, Robert Wuhl, Lolita Davidovich"
Donnie Brasco,3.0,126.0,1997,"Profanity, Violence",DRAMA,Mike Newell,"Al Pacino, Johnny Depp, Michael Madsen, Bruno Kirby, James Russo, Anne Heche"
Hot Fuzz,3.0,123.0,2007,"Violence, Profanity",COMEDY/ACTION,Edgar Wright,"Simon Pegg, Jim Broadbent, Timothy Dalton, Nick Frost"
Sleuth,4.0,138.0,,Violence,THRILLER,Joseph L. Mankiewicz,"Laurence Olivier, Michael Caine"
Over the Hedge,3.0,83.0,2006,Nothing Objectionable,ANIMATED,"Tim Johnson, Karey Kirkpatrick","(voices) Bruce Willis, Allison Janney, Avril Levigne, Catherine O'Hara, Eugene Levy, Nick Nolte, William Shatner, Wanda Sykes, Steve Carell, Garry Shandling, Thomas Hayden Church"
Brideshead Revisited,3.0,135.0,2008,"Sexual Situations, Nudity",DRAMA,Julian Jarrold,"Matthew Goode, Hayley Atwell, Ben Whishaw, Emma Thompson, Michael Gambon, Greta Scacchi"
Airplane!,3.0,88.0,1980,"Profanity, Sexual Situations, Nudity",COMEDY,"Jim Abrams, Jerry Zucker, David Zucker","Robert Hays, Julie Hagerty, Leslie Nielsen, Lloyd Bridges, Robert Stack, Peter Graves, Lorna Patterson, Kareem Abdul-Jabaar"
Blue Chips,3.0,107.0,1994,Profanity,DRAMA,William Friedkin,"Nick Nolte, Mary McDowell, J.T. Walsh, Alfre Woodard, Shaquille O'Neal, Anfernee Hardaway, Matt Nover"
Magic Mike's Last Dance,2.5,112.0,2023,"Sexual Content, Profanity",Drama/Romance,Steven Soderbergh,"Channing Tatum, Salma Hayek Pinault, Ayub Khan Din, Jemelia George, Juliette Motamed"
Your Place or Mine,2.5,109.0,2023,"Profanity, Sexual Content",Romance/Comedy,Aline Brosh McKenna,": Reese Witherspoon, Ashton Kutcher, Jesse Williams, Zoe Chao, Wesley Kimmel, Tig Notaro, Steve Zahn"
Knock at the Cabin,2.0,100.0,2023,Violence,Thriller,M. Night Shyamalan,"Dave Bautista, Jonathan Groff, Ben Aldridge, Nikki Amuka-Bird, Rupert Grint, Abby Quinn, Kristen Cui"
Infinity Pool,3.0,117.0,2023,"Violence, Gore, Profanity, Sexual Content, Nudity, Drugs",Thriller/Horror,Brandon Cronenberg,"Alexander Skarsgård, Mia Goth, Cleopatra Coleman, Jalil Lespert, Thomas Kretschmann"
Missing,2.5,111.0,2023,"Profanity, Violence",Thriller,"Nick Johnson, Will Merrick","Storm Reid, Nia Long, Ken Leung, Joaquim de Almeida, Megan Suri, Daniel Henney, Amy Landecker, Tim Griffin"
Broker,3.0,129.0,2023,Profanity,Drama,Hirokazu Kore-eda,"Song Kang-ho, Gang Dong-won, Bae Doona, Lee Ji-eun, Lee Joo-young, Im Seung-soo"
"Alice, Darling",2.0,90.0,2023,"Profanity, Sexual Content",Drama/Thriller,Mary Nighy,"Anna Kendrick, Kaniehiio Horn, Wunmi Mosaku, Charlie Carrick"
Pee-wee's Big Adventure,2.5,91.0,1985,,Comedy,Tim Burton,
Plane,2.0,102.0,2023,"Violence, Profanity, Intense Disaster Scenes",Action,Jean-Francois Richet,"Gerard Butler, Mike Colter, Daniella Pineda, Tony Goldwyn, Paul Ben-Victor, Evan Dane Taylor, Yoson An"
M3gan,2.5,102.0,2023,Violence,Horror,Gerard Johnstone,"Allison Williams, Violet McGraw, Amie Donald, Jen Van Epps, Brian Jordan Alvarez, Ronny Chieng, Jenna Davis"
Diamonds Are Forever,2.5,125.0,,"Violence, Sexual Situations",ACTION/THRILLER,Guy Hamilton,"Sean Connery, Charles Gray, Jill St. John, Jimmy Dean, Bruce Cabot, Norman Burton, Bernard Lee, Lois Maxwell, Desmond Llewelyn"
Glory Road,3.0,113.0,2006,"Violence, Profanity",SPORTS DRAMA,James Gartner ,"Josh Lucas, Emily Deschanel, Red West, Schin A.S. Kerr, Sam Jones III, Al Shearer, Damaine Radcliff, Alphonso McAuley, Mechad Brooks, Austin Nichols, Derek Luke, Jon Voight"
Finding Nemo,3.5,101.0,2003,Nothing Objectionable,ANIMATED,Andrew Stanton,"(voices) Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe, Brad Garrett, Allison Janney, Austin Pendleton, Stephen Root, Geoffrey Rush"
Cadillac Records,2.5,109.0,2008,"Profanity, Sexual Situations",DRAMA,Darnell Martin,"Adrien Brody, Jeffrey Wright, Gabrielle Union, Columbus Short, Cedric the Entertainer, Emmanuelle Chriqui, Eamonn Walker, Mos Def, Beyoncé Knowles"
Mars Attacks!,2.0,107.0,1996,Violence,SCIENCE FICTION/COMEDY,Tim Burton,"Jack Nicholson, Paul Winfield, Danny DeVito, Michael J. Fox, Pam Grier, Jim Brown, Martin Short, Sarah Jessica Parker, Pierce Brosnan, Annette Bening, Glenn Close, Natalie Portman"
Road Trip,2.5,93.0,2000,"Profanity, Nudity, Sexual Content",COMEDY,Todd Phillips,"Breckin Meyer, Sean William Scott, DJ Qualls, Paolo Costanzo, Tom Green, Amy Smart, Rachel Blanchard, Fred Ward, Anthony Rapp"
Elf,2.5,95.0,2003,Nothing Objectionable,COMEDY,Jon Favreau,"Will Ferrell, James Caan, Zooey Deschanel, Edward Asner, Bob Newhart, Mary Steenburgen, Daniel Tay"
Thunderball,3.0,133.0,,"Violence, Sexual Situations",ACTION/THRILLER,Terence Young,"Sean Connery, Claudine Auger, Adolfo Celi, Luciana Paluzzi, Rik Van Nutter, Bernard Lee, Martine Beswick, Desmond Llewelyn, Lois Maxwell"
"Good Woman, A",3.0,90.0,2006,Mature Themes,COMEDY,Mike Barker,"Helen Hunt, Scarlett Johansson, Tom Wilkinson, Stephen Campbell Moore, Mark Umbers, John Standing"
"New World, The",3.0,145.0,2005,Violence,DRAMA/ADVENTURE,Terrence Malick,"Colin Farrell, Christian Bale, Q'Orianka Kilcher, Christopher Plummer, Wes Studi, David Thewlis, Irene Bedard"
Paper Towns,2.0,107.0,2015,"Profanity, Sexual Content, Brief Nudity",Drama,Jake Schreier,"Nat Wolff, Cara Delevingne, Austin Abrams, Justice Smith, Halston Sage, Jaz Sinclair"
Ant-Man,2.5,117.0,2015,"Violence, Profanity",Action/Adventure,Peyton Reed,"Paul Rudd, Michael Douglas, Evangeline Lilly, Corey Stoll, Bobby Cannavale, Judy Greer, Michael Pena"
Trainwreck,3.5,125.0,2015,"Profanity, Sexual Content, Nudity, Drugs",Comedy,Judd Apatow,"Amy Schumer, Bill Hader, Brie Larson, Tilda Swinton, Vanessa Bayer, John Cena, LeBron James"
Minions,2.5,91.0,2015,,Animated,"Pierre Coffin, Kyle Balda","Sandra Bullock, Pierre Coffin, Jon Hamm, Michael Keaton, Allison Janney, Steve Coogan, Jennifer Saunders, Geoffrey Rush, Steve Carell"
Self/Less,1.5,117.0,2015,"Violence, Sexual Content, Profanity",Science Fiction/Thriller,Tarsem Singh,"Ryan Reynolds, Ben Kingsley, Natalie Martinez, Matthew Goode, Victor Garber, Derek Luke, Jaynee-Lynne Kinchen"
Terminator: Genisys,3.0,125.0,2015,"Violence, Profanity, Partial Nudity",Science Fiction/Action,Alan Taylor,"Arnold Schwarzenegger, Emilia Clarke, Jason Clarke, Jai Courtney, J.K. Simmons, Matt Smith"
Magic Mike XXL,1.5,114.0,2015,"Sexual Content, Profanity, Brief Nudity",Drama/Comedy,Gregory Jacobs,"Channing Tatum, Mat Bomer, Joe Manganiello, Kevin Nash, Adam Rodriguez, Gabriel Iglesias, Amber Heard, Jada Pinkett Smith, Andie MacDowell"
Ted 2,2.0,115.0,2015,"Profanity, Sexual Content, Drugs",Comedy,Seth MacFarlane,"Mark Wahlberg, Seth MacFarlane, Amanda Seyfried, Jessica Barth, Giovanni Ribisi"
Max,3.0,111.0,2015,,Family Adventure,Boaz Yakin,"Josh Wiggins, Thomas Haden Church, Lauren Graham, Luke Kleintank, Robbie Amell, Mia Xitlali, Dejon LaQuake, Jay Hernandez"
"Overnight, The",2.5,79.0,2015,"Sexual Content, Nudity, Profanity, Drugs",Comedy,Patrick Brice,"Adam Scott, Taylor Schilling, Jason Schwartzman, Judith Godreche"
"Old Guard, The",3.0,125.0,2020,"Violence, Profanity",Action/Thriller,Gina Prince-Bythewood,"Charlize Theron, Kiki Layne, Matthias Schoenaerts, Marwan Kenzari, Luca Marinelli, Chiwetel Ejiofor, Harry Melling, Van Veronica Ngo"
Nausicaa of the Valley of the Wind,3.0,117.0,1987,,Animated/Fantasy,Hayao Miyazaki,"Sumi Shimamoto, Goro Naya, Asbel, Yoshiko Sakakibara, Iemasa Kayumi, Ichiro Nagai, Hisako Kyoda"
"Beach House, The",2.0,88.0,2020,"Gore, Disturbing Images",Horror,Jeffrey A. Brown,"Liana Liberato, Noah Le Gros, Jake Weber, Maryann Nagel"
Hamilton,3.5,160.0,2020,Profanity,Musical/Drama,Thomas Kail,"Lin-Manuel Miranda, Leslie Odom Jr., Christopher Jackson, Phillipa Soo, Daveed Diggs, Renee Elise Goldsberry, Jonathan Groff, Jasmine Cephas Jones"
"Outpost, The",3.0,123.0,2020,"Violence, Profanity",War/Drama,Rod Lurie,"Orlando Bloom, Scott Eastwood, Caleb Landry Jones, Milo Gibson, Jack Kesy, Will Attenborough, Taylor John Smith, Cory Hardrict"
"Truth, The",3.0,106.0,2020,,Drama/Comedy,Hirokazu Kore-eda,"Catherine Deneuve, Juliette Binoche, Ethan Hawke, Clementine Grenier, Manon Clavel"
Eurovision Song Contest: The Story of Fire Saga,2.0,123.0,2020,"Profanity, Sexual Content",Comedy/Musical,David Dobkin,"Will Ferrell, Rachel McAdams, Dan Stevens, Mikael Persbrandt, Pierce Brosnan, Melissanthi Mahut, Demi Lovato, Graham Norton"
Willy Wonka and the Chocolate Factory,2.5,100.0,1971,,Fantasy/Musical/Comedy,Mel Stuart,"Gene Wilder, Ursula Reit, Paris Themmen, Dodo Denney, Denise Nickerson, Leonard Stone, Julie Dawn Cole, Roy Kinnear, Peter Ostrum, Jack Albertson, Michael Bollner"
"Race for Your Life, Charlie Brown",2.5,,1977,,Animated,,"Duncan Watson, Stuart Brotman, Gail Davis, Liam Martin, Jimmy Ahrens, Melanie Kohn, Bill Melendez"
Irresistible,3.0,101.0,2020,"Profanity, Sexual Content",Comedy,Jon Stewart,"Steve Carell, Chris Cooper, Mackenzie Davis, Rose Byrne, Brent Sexton, Topher Grace"
Beirut,3.0,109.0,2018,"Violence, Profanity",Thriller,Brad Anderson,"Jon Hamm, Rosamund Pike, Dean Norris, Shea Whigham, Mark Pellegrino, Jonny Coyne, Leila Bekhti, Idir Chender, Hicham Ouraqa"
Memories of Murder,3.0,127.0,2005,"Violence, Sexual Content, Disturbing Images",Thriller/Drama,Bong Joon-ho,"Song Kang-ho, Kim Sang-kyung, Kim Roi-ha, Song Jae-ho, Byun Hee-bong, Go Seo-hee"
Grave of the Fireflies,4.0,89.0,1993,"War Violence, Disturbing Images",Animated,Isao Takahata,"Tsutomu Tatsumi, Ayano Shiraishi, Yoshiko Shinohara, Akemi Yamaguchi"
"Quiet Place, A",3.5,90.0,2018,"Violence, Disturbing Images",Science Fiction/Horror,John Krasinski,"Emily Blunt, John Krasinski, Millicent Simmonds, Noah Jupe, Cade Woodward"
Blockers,3.0,102.0,2018,"Profanity, Sexual Content, Nudity, Drugs",Comedy,Kay Cannon ,"Leslie Mann, Ramona Young, Graham Phillips, Miles Robbins, Gideon Adlon, Geraldine Viswanathan, Kathryn Newton, Ike Barinholtz, John Cena, Jimmy Bellinger"
Finding Your Feet,2.5,111.0,2018,"Profanity, Sexual Content, Drugs",Comedy/Drama,Richard Loncraine,"Imelda Staunton, Timothy Spall, Celia Imrie, Joanna Lumley, David Hayman, John Sessions, Josie Lawrence"
Love After Love,3.0,91.0,2018,"Profanity, Sexual Content, Nudity, Adult Themes",Drama,Russell Harbaugh,"Andie MacDowell, Chris O’Dowd, James Adomian, Juliet Rylance, Dree Hemingway, Francesca Faridany, Matt Salinger, Gareth Williams"
Salome/Wilde Salome,2.5,95.0,2018,"Sexual Content, Nudity, Adult Themes",Drama/Documentary,Al Pacino,"Al Pacino, Jessica Chastain, Kevin Anderson, Estelle Parsons, Roxanne Hart"
Isle of Dogs,2.5,100.0,2018,"Adult Themes, Profanity",Animated,Wes Anderson,"Bryan Cranston, Liev Schreiber, Scarlett Johansson, Greta Gerwig, Kunichi Nomura, Jeff Goldblum, Bill Murray, Bob Balaban, Edward Norton, Koyu Rankin, Frances McDormand"
Ready Player One,3.0,140.0,2018,"Violence, Profanity, Sexual Innuendo",Science Fiction/Adventure,Steven Spielberg,"Tye Sheridan, Olivia Cooke, Ben Mendelsohn, Lena Waithe, T.J. Miller, Simon Pegg, Mark Rylance, Philip Zhao, Win Morisaki"
Arlington Road,2.0,120.0,1999,"Violence, Profanity",THRILLER,Mark Pellington,"Jeff Bridges, Tim Robbins, Joan Cusack, Hope Davis, Robert Gossett"
Bad Education,2.5,105.0,2004,"Sexual Content, Profanity, Violence",DRAMA/THRILLER,Pedro Almodovar,"Gael García Bernal, Fele Martínez, Daniel Giménez Cacho, Lluís Homar, Javier Cámara"
Grumpier Old Men,2.0,95.0,1995,Profanity,COMEDY,Howard Deutch,"Jack Lemmon, Walter Matthau, Ann-Margret, Sophia Loren, Kevin Pollak, Daryl Hannah, Burgess Meredith"
"Bucket List, The",3.0,97.0,2007,"Profanity, Sexual Situations",DRAMA,Rob Reiner,"Jack Nicholson, Morgan Freeman, Sean Hayes, Beverly Todd, Rob Morrow"
"Forbidden Kingdom, The",3.0,110.0,2008,Violence,FANTASY/ACTION,Rob Minkoff,"Jet Li, Jackie Chan, Michael Angarano, Yifei Liu, Bingbing Li, Collin Chou"
Shall We Dance?,3.0,126.0,,Mature Themes,DRAMA,Masayuki Suo,"Koji Yakusyo, Tamiyo Kusakari, Naoto Takenaka, Eriko Watanabe, Akira Emoto, Yu Tokui"
Must Love Dogs,2.5,99.0,2005,"Sexual Situations, Profanity",ROMANCE/COMEDY,Gary David Goldberg,"Diane Lane, John Cusack, Elizabeth Perkins, Christopher Plummer, Dermot Mulroney, Stockard Channing, Ali Hills"
Lemony Snicket's A Series of Unfortunate Events,3.0,110.0,2004,Violence,FANTASY/ADVENTURE,Brad Silberling,"Jim Carrey, Meryl Streep, Jude Law, Emily Browning, Liam Aiken, Kara &amp; Shelby Hoffman, Billy Connolly, Timothy Spall, Catherine O'Hara"
